Game ID,Move Number,Row,Col,Action,Board State,Mines Flagged,Hidden Cells,Safe,Game Outcome
4384498352,1,0,0,r,"[['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-']]",0,64,False,Bayesian
4384498352,2,2,2,r,"[['(0)', '(1)', '-', '-', '-', '-', '-', '-'], ['(0)', '(1)', '-', '-', '-', '-', '-', '-'], ['(0)', '(1)', '-', '-', '-', '-', '-', '-'], ['(1)', '(2)', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-']]",0,56,False,Bayesian
4384498352,3,1,3,r,"[['(0)', '(1)', '-', '-', '-', '-', '-', '-'], ['(0)', '(1)', '-', '-', '-', '-', '-', '-'], ['(0)', '(1)', '(1)', '-', '-', '-', '-', '-'], ['(1)', '(2)', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-']]",0,55,False,Bayesian
4384498352,4,3,3,r,"[['(0)', '(1)', '-', '-', '-', '-', '-', '-'], ['(0)', '(1)', '-', '(3)', '-', '-', '-', '-'], ['(0)', '(1)', '(1)', '-', '-', '-', '-', '-'], ['(1)', '(2)', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-']]",0,54,False,Bayesian
4384498352,5,2,3,r,"[['(0)', '(1)', '-', '-', '-', '-', '-', '-'], ['(0)', '(1)', '-', '(3)', '-', '-', '-', '-'], ['(0)', '(1)', '(1)', '-', '-', '-', '-', '-'], ['(1)', '(2)', '-', '(3)', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-']]",0,53,False,Bayesian
4384498352,6,1,4,r,"[['(0)', '(1)', '-', '-', '-', '-', '-', '-'], ['(0)', '(1)', '-', '(3)', '-', '-', '-', '-'], ['(0)', '(1)', '(1)', '(2)', '-', '-', '-', '-'], ['(1)', '(2)', '-', '(3)', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-']]",0,52,False,Bayesian
4384498352,7,0,5,r,"[['(0)', '(1)', '-', '-', '-', '-', '-', '-'], ['(0)', '(1)', '-', '(3)', '(2)', '-', '-', '-'], ['(0)', '(1)', '(1)', '(2)', '-', '-', '-', '-'], ['(1)', '(2)', '-', '(3)', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-']]",0,51,False,Bayesian
4384498352,8,0,6,r,"[['(0)', '(1)', '-', '-', '-', '(1)', '-', '-'], ['(0)', '(1)', '-', '(3)', '(2)', '-', '-', '-'], ['(0)', '(1)', '(1)', '(2)', '-', '-', '-', '-'], ['(1)', '(2)', '-', '(3)', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-']]",0,50,False,Bayesian
4384498352,9,2,4,f,"[['(0)', '(1)', '-', '-', '-', '(1)', '(0)', '(0)'], ['(0)', '(1)', '-', '(3)', '(2)', '(2)', '(0)', '(0)'], ['(0)', '(1)', '(1)', '(2)', '-', '(1)', '(0)', '(0)'], ['(1)', '(2)', '-', '(3)', '-', '(3)', '(2)', '(1)'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-']]",0,39,False,Flag
4384498352,10,3,4,r,"[['(0)', '(1)', '-', '-', '-', '(1)', '(0)', '(0)'], ['(0)', '(1)', '-', '(3)', '(2)', '(2)', '(0)', '(0)'], ['(0)', '(1)', '(1)', '(2)', 'F', '(1)', '(0)', '(0)'], ['(1)', '(2)', '-', '(3)', '-', '(3)', '(2)', '(1)'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-', '-']]",1,38,False,Safe
